EG-CHP-MX1
2022-01-19T15:33:04.269603Z - Ethernet port carrier change - {'device': 'port9', 'carrier': 'false'}
2022-01-19T15:30:39.517899Z - Ethernet port carrier change - {'device': 'port9', 'carrier': 'true'}
2022-01-19T15:30:36.473407Z - Ethernet port carrier change - {'device': 'port9', 'carrier': 'false'}
2022-01-19T15:26:35.064215Z - Ethernet port carrier change - {'device': 'port9', 'carrier': 'true'}
2022-01-19T15:26:31.714478Z - Ethernet port carrier change - {'device': 'port9', 'carrier': 'false'}
2022-01-19T15:23:48.125518Z - Ethernet port carrier change - {'device': 'port9', 'carrier': 'true'}
2022-01-19T12:09:35.581487Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-19T12:09:35.580144Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-19T12:06:10.969284Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-19T12:06:10.967966Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-18T14:12:15.845293Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-18T14:10:07.691550Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-18T14:10:00.437762Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-18T14:09:16.153456Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-18T02:03:15.597870Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-18T02:03:13.119775Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-18T02:02:01.705677Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-18T02:00:35.843911Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-18T01:59:53.770710Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-18T01:59:42.830729Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-18T01:58:51.635045Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-18T01:58:39.355006Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-15T01:23:47.854788Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-15T01:23:47.853435Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-15T01:21:06.547452Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
